Year,Country,Number
2019,Niger,217
2019,Nigeria,3614
2019,Norway,5703
2019,Oman,253
2019,Pakistan,932
2019,Philippines,3299
2019,Poland,11411
2019,Portugal,5236
2019,Qatar,360
2019,Reunion Island,137570
2019,Romania,4817
2019,Russia,11191
2019,Rwanda,297
2019,Saudi Arabia,22788
2019,Senegal,260
2019,Serbia,816
2019,Seychelles,6838
2019,Singapore,2794
2019,Slovakia,4234
2019,Slovenia,2211
2019,South Africa,118556
2019,Spain,14307
2019,Sri Lanka,511
2019,Sudan,97
2019,Sweden,13215
2019,Switzerland,42045
2019,Taiwan,1872
2019,Tanzania,1074
2019,Thailand,561
2019,Togo,80
2019,Tunisia,507
2019,Turkey,3011
2019,Uganda,824
2019,Ukraine,3622
2019,United Arab Emirates,13999
2019,United Kingdom,141520
2019,United States of America,10407
2019,Vietnam,652
2019,Zambia,1171
2019,Zimbabwe,3021
